"","link","title","pub_year"
"69","https://www.scopus.com/inward/record.uri?eid=2-s2.0-24344502292&partnerID=40&md5=c58cfb33fd84fceeb8605bb1a46f22aa","Opening the lost valley: Implementing a back to the future","2004"
"70","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846093431&partnerID=40&md5=a884b3a7249cfcb0f300a4a29e51744b","Flux and dynamics of metallic pollution aerosols: Information and perspectives related to the studies of lead in the coastal zone","2004"
"71","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040955130&partnerID=40&md5=4ac98a2a2dc0208fb35948835b6aa90c","Mathematical modelling as a tool for assessment of coastal water pollution.","1989"
"72","https://www.scopus.com/inward/record.uri?eid=2-s2.0-11144310057&partnerID=40&md5=fea095add990a14c6c051156a116d6cf","The biology and ecology of the North Sea","2004"
"73","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024845045&partnerID=40&md5=c51a32e3f0f523483de5042f7cdabb47","The five-year fate of sea-floor petroleum hydrocarbons from discharged drill cuttings","1989"
"74","https://www.scopus.com/inward/record.uri?eid=2-s2.0-21844475383&partnerID=40&md5=4eee2418f91c937992baa24c3fbd72aa","Carbon dynamics and CO<sub>2</sub> air-sea exchanges in the eutrophied coastal waters of the Southern Bight of the North Sea: A modelling study","2004"
"75","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033401389&partnerID=40&md5=808d32cc0c6b5ea21cdee458c0c48e92","The landscape water balance in the Elbe river (German part)","1999"
"76","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032970796&partnerID=40&md5=51784303f2d332b66e962dfcff6b91af","SONUS: The southern nutrients study 1995-1997","1999"
"77","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024449046&partnerID=40&md5=294cd1877e8902c44ae2365f39ed984e","Energy","1989"
"78","https://www.scopus.com/inward/record.uri?eid=2-s2.0-11144310057&partnerID=40&md5=fea095add990a14c6c051156a116d6cf","The biology and ecology of the North Sea","2004"
"79","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024912187&partnerID=40&md5=ceed2a9f73cc303e17386abbe84337ca","Mass deaths of harbor seals (Phoca vitulina) in Europe","1989"
"80","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4644238103&partnerID=40&md5=003616689ced9c5b103d05df7622d114","The SnØhvit design reflects a sustainable environmental strategy","2004"
"81","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033030319&partnerID=40&md5=e9a2e8c70b5ffe74266f02b56ea49ee1","Impacts of tributyltin (TBT) from anti-fouling paints on snail populations on the German North Sea coast","1999"
"82","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024168132&partnerID=40&md5=99fde5ea3dab9781479c7ad8dd62da2e","Immediate and long term effect of Efofisk Bravo blow out on the marine ecosystem compared to continuous discharge water from greater Ekofisk installation","1988"
"83","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095443794&partnerID=40&md5=b4ed5811d8ce8d10f926c8cf64360df9","Damage analysis for the North Sea island of Pellworm in Schleswig-Holstein","2017"
"84","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024186872&partnerID=40&md5=8b508f5a42f2891760c9ea7b1ffd23f9","The North Sea ecosystem","1988"
"85","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2442591426&partnerID=40&md5=22749505456e23a076f8bbc57afe3ca3","Metocean features in the North Sea","2004"
"86","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023907250&partnerID=40&md5=ef0a1617aebc0883e933cd92f534b13e","Surface water sanitation in Western Germany","1988"
"87","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023775429&partnerID=40&md5=76f63a15d19d9448d512e034d9195ed9","North Sea pollution - many investigations and less or no action to recover","1988"
"88","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023839301&partnerID=40&md5=e7ba0cbd1cb38289d2ea9969aa6060eb","Origin and effect of pollutants in the North Sea","1988"
"89","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023762964&partnerID=40&md5=753e495e200c41652ba009b2c39765b7","Biological monitoring in the central and southern North Sea: Heavy metal concentration in the blue mussel (Mytilus edulis L.)","1988"
"90","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023720251&partnerID=40&md5=c0529a8f4a11d22116b4fa92dc214a02","Nitrogen budget at the scale of the Belgian hydrographical network","1988"
"91","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032317396&partnerID=40&md5=c1395647898212a81da9c52b337d20ca","First estimates of changes in extreme storm surge elevations due to the doubling of CO<sub>2</sub>","1998"
"92","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024233995&partnerID=40&md5=b7956275418bbe090bf1ba679ef825cc","Heavy metal pollution - an example of an emission free' area - Amrum Island, North Sea","1988"
"93","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024221657&partnerID=40&md5=68a9804ce9e4c2ce7f9247aa02d87aa4","The contamination of the North Sea and Baltic Sea by the Chernobyl fallout","1988"
"94","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032313620&partnerID=40&md5=292c93d60d27449f69da96ed86273e7f","Long-term variations of the storm climate over NW Europe","1998"
"95","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032314286&partnerID=40&md5=ea57fc027bcf5d67989f81bf298ab4e9","The wave climate of the Northeast Atlantic over the period 1955-1994: The WASA wave hindcast","1998"
"96","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045463594&partnerID=40&md5=ae30cfabf160d8e56d1d37de7bda291b","Study of a new installation technique for large diameter monopiles","2017"
"97","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024222361&partnerID=40&md5=cc7c357b61eaf7ee4c31ec922be862df","The application of seaweeds as bioindicators for radioactive pollution in the Channel and southern North Sea","1988"
"98","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032288662&partnerID=40&md5=4a3211db90ab0d10bcb2a89a164e8164","Field experiments with subsurface releases of oil and dyed water","1998"
"99","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040028549&partnerID=40&md5=946e41c33c558a24aab4147f097caa0b","Light crude oil slicks behaviour and effect of response options during full-scale field experiments","2017"
"100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023931497&partnerID=40&md5=c726e07c88ea34ae61f5ba97234e4cd2","Reducing the discharge of pollutants into the North Sea, the Baltic Sea, and up to 1995 the Rhine by half","1988"
"101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866535651&partnerID=40&md5=b5a7ecfce658bed0e57f877a94d34986","Using air-and spaceborne remote sensing data for the operational oil spill monitoring of the German North Sea and Baltic Sea","2004"
"102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032457730&partnerID=40&md5=fade3256c2dee798f1017da8a1bcb803","Non-indigenous phytoplankton species in the North Sea: Supposed region of origin and possible transport vector","1998"
"103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032439863&partnerID=40&md5=0f0b21e1d2028d159bdc7588786cede0","No-take marine reserves: The practicalities","1998"
"104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032438479&partnerID=40&md5=ab07026d6e949e67d29d31b52cd72710","Reproduction of Kentish Plovers Charadrius alexandrinus and Ringed Plovers Charadrius hiaticula on three Dutch Wadden Sea islands in 1997","1998"
"105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023779422&partnerID=40&md5=0862d36823b3947024f9767915db5810","A contribution to the discussion on the eutrophication of coasal water","1988"
"106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023725172&partnerID=40&md5=1a2210fca1556489e9877b5c595fd35a","The sea, the sea? Sludge dumping - an uncertain future.","1988"
"107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023705474&partnerID=40&md5=4c68f323824b0599a389ff1d54b1e6db","Water pollution in Denmark. A review with special reference to freshwater resources","1988"
"108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023726084&partnerID=40&md5=cb21fc36e4914997d4470984327dab3f","Eutrophication policy in development: 1987 turning-point?","1988"
"109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031697612&partnerID=40&md5=f174f5e86c92cce3b31a4623fee1d8da","Current political and regulatory situation with respect to the use of hazardous antifouling technologies","1998"
"110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642518341&partnerID=40&md5=70c9df38fd83983f2a7e005fa7a88b43","Improved oil slick detection and classification with polarimetric SAR","2003"
"111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023824340&partnerID=40&md5=9ed3aaebff9a82841c36b99bc99cfeb1","Fish and their environment in large European river ecosystems. The Dutch part of the river Rhine","1988"
"112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866980403&partnerID=40&md5=946c2ddbbdf9aabaf3075a39f0deb499","The reliability of extreme surge levels, estimated from observational records over 100 years","2003"
"113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242468261&partnerID=40&md5=9dfcf3542547e845498f2a27f38df33d","Airborne pollution surveillance using multi-sensor systems","2003"
"114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023565004&partnerID=40&md5=31e673c38110087b2e24ed3dd13c1b89","OIL CONTINUOUS MUD FORMULATION, USE AND CUTTINGS DISPOSAL IN THE NORTH SEA.","1987"
"115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023362039&partnerID=40&md5=b38d5069e3485f0d01d358e6193a2521","ALTERNATIVE ENERGY SOURCE.","1987"
"116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023556080&partnerID=40&md5=7a92967c5515340d1bcd46b7573d3cc9","NERC North Sea project","1987"
"117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023584260&partnerID=40&md5=43ed459a1c6127909aa772806d5ad7b3","Evaluation of North Sea quality status","1987"
"118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040876304&partnerID=40&md5=8b6d29ce6422c2e6347b355e13bd53ae","Pollution damage in the North Sea","1987"
"119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040876396&partnerID=40&md5=f0d59e107befee1f86024d4a1662b715","Report of the Federal Government to the German Federal Parliament on preparations for the second international conference on the protection of the North Sea","1987"
"120","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023167596&partnerID=40&md5=c50b785ff594809122096df5fb7093f4","OCEAN INCINERATION AND THE COASTAL ZONE.","1987"
"121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023517268&partnerID=40&md5=16c82f31b6518659a4948833fe9d9a27","A simple method for analysing trends in recruitment ( Fisheries, North Sea).","1987"
"122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897419005&partnerID=40&md5=6a9b01a4db89d3637f67a9c798532c87","Selection and optimization of corrosion inhibitor treatment for a new multi-phase pipeline operating under potentially corrosive conditions","2003"
"123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242627456&partnerID=40&md5=e36682b737bd4b8dc093b880014c876e","Ocean governance and the marine cadastre: The Netherlands North Sea","2003"
"124","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023272997&partnerID=40&md5=c665be6722ca33837ce9f439fe663002","MODELLING AS A TOOL FOR ANALYSIS AND ASSESSMENT OF NORTH SEA POLLUTION.","1987"
"125","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054989945&partnerID=40&md5=72d70ced2a6c2f750712c737bd889f44","Discharge of produced water: New challenges for an old issue","2003"
"126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031291085&partnerID=40&md5=5b44cdc00dc66dcb38f7eda61c4589c5","Long term changes of the muddy fine and macrobenthic assemblages in the English Channel and the southern part of the North Sea","1997"
"127","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040870747&partnerID=40&md5=5853f4f4c77700fc6c6abd378ff36e80","( Environmental policy: a balance).","1987"
"128","https://www.scopus.com/inward/record.uri?eid=2-s2.0-5644241736&partnerID=40&md5=6461da46734f02f63efe28527c604290","7. Oil pollution and seabirds","1997"
"129","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055005807&partnerID=40&md5=612dcf69754997d94f63624982caa595","Environmental management systems (EMS) for offshore facilities","2003"
"130","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031429890&partnerID=40&md5=a6db142dbbe65ccd1bc9bef1aa3decfc","Numbers of Eider Somateria mollissima in The Netherlands in winter, 1993-97","1997"
"131","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031396049&partnerID=40&md5=8def30438a5c95a9975f43ad6350c303","The nitrate directive and the North Sea","1997"
"132","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037282116&partnerID=40&md5=8203fc911c7c8844bcfe71bf3ee5fc17","POLREC: A fully automated system for pollution removal: A diverless solution for the subsea pump-out of environmental threats from wrecks","2003"
"133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023253183&partnerID=40&md5=1d9024809cfec178ada477b605c19d76","Trace metals in the eastern part of the North Sea. I: Analyses and short-term distributions","1987"
"134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031410599&partnerID=40&md5=6bd6a1dc91e846233090fb633a6b10e9","Paragraph 17 and hazardous substances: policy in the Netherlands","1997"
"135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023017513&partnerID=40&md5=a5451623e003b847f29f3b9338a4372b","Trials with net boom for corralling and recovering viscous oils at sea","1986"
"136","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022955513&partnerID=40&md5=659d3f7afc0bd64c4910ab8353690746","ATMOSPHERIC INPUT OF HEAVY METALS INTO THE NORTH SEA: FIRST RESULTS OF A 3-DIMENSIONAL TRAJECTORY-MODEL.","1986"
"137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1842584261&partnerID=40&md5=e741ad2974676444f3ded243f51e9520","Preliminary Wave Model Results of Climate Change Effects at the Coast","2002"
"138","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036961282&partnerID=40&md5=5e67c313208d52332d0012d33ccf5238","Changes of the marine and coastal landscapes environment of the North Sea through wind-energy installations","2002"
